Question,Bloom's Taxonomy Level,BT1 (Remembering),BT2 (Understanding),BT3 (Applying),BT4 (Analyzing),BT5 (Evaluating),BT6 (Creating),Difficulty_Score
How do you declare a variable in Python?,BT3 (Applying),0.31704855,0.017897094,0.63283145,0.021283217,0.0077394135,0.0032002388,0.264042923
What is the difference between == and === in JavaScript?,BT4 (Analyzing),0.107584506,0.013558671,0.01294884,0.86208576,0.0028662249,0.00095602404,0.277508781
Explain the purpose of a while loop.,BT1 (Remembering),0.5377908,0.27118513,0.036176726,0.14715736,0.0045602857,0.0031296625,0.266340914
What does the return statement do in a function?,BT1 (Remembering),0.39710113,0.019441016,0.2560483,0.31624264,0.009529743,0.0016371846,0.283921163
How do you define a class in Python?,BT1 (Remembering),0.9724531,0.008645181,0.011412619,0.0035808084,0.0014187645,0.0024895233,0.267054524
What is an object in Object-Oriented Programming?,BT1 (Remembering),0.9869108,0.0051963194,0.003975728,0.0020343547,0.001051185,0.00083155726,0.255534653
What is the purpose of the break statement in loops?,BT1 (Remembering),0.9326353,0.025871946,0.012788038,0.026222521,0.0017195628,0.0007625574,0.194917541
How do you create a dictionary in Python?,BT6 (Creating),0.0077385255,0.0048727323,0.025336139,0.011545417,0.004554671,0.9459525,0.236317875
Explain what an IDE is and give an example.,BT2 (Understanding),0.19792208,0.6921489,0.04768028,0.058259826,0.0027824081,0.0012064587,0.129838964
What is the difference between a compiled and an interpreted language?,BT4 (Analyzing),0.016477143,0.019196877,0.001895411,0.9597167,0.0017942078,0.0009196806,0.125070277
How does a for loop work?,BT3 (Applying),0.24528244,0.012214495,0.6293657,0.10289228,0.0077685644,0.002476505,0.182185363
What is the function of the modulus operator (%)?,BT1 (Remembering),0.95088255,0.012792357,0.015260622,0.018907748,0.0016720089,0.00048467843,0.100891274
How do you find the length of a list in Python?,BT1 (Remembering),0.7695953,0.016419496,0.156595,0.050721403,0.0047482895,0.0019205005,0.158706907
What are comments in programming and why are they useful?,BT1 (Remembering),0.9750573,0.012664956,0.0030473447,0.00440671,0.003717873,0.0011057557,0.210795287
Explain what a syntax error is.,BT2 (Understanding),0.15674463,0.7303927,0.011498625,0.09523525,0.004835203,0.0012937163,0.214402517
How do you swap two variables in Python without a temporary variable?,BT3 (Applying),0.014380601,0.0055688005,0.95978487,0.011059636,0.004595683,0.004610474,0.289756306
What is a boolean data type?,BT1 (Remembering),0.9842673,0.0052182614,0.0058015,0.0030912107,0.0009951602,0.00062664837,0.210526555
What is a tuple in Python?,BT1 (Remembering),0.98726,0.0045208996,0.0036078163,0.0028659848,0.000995641,0.0007496941,0.199429004
What does the append() method do for a list?,BT1 (Remembering),0.78152776,0.017913248,0.16050367,0.032362644,0.0060528433,0.0016398093,0.145297004
Explain the concept of an infinite loop.,BT1 (Remembering),0.47218436,0.3695265,0.06437391,0.08750918,0.0024802452,0.003925825,0.295356343
What is a default parameter in a function?,BT1 (Remembering),0.97937876,0.006325766,0.007250676,0.005235509,0.0012488292,0.00056036067,0.226343676
How do you check if a key exists in a dictionary?,BT3 (Applying),0.015508508,0.0027845507,0.7748641,0.0848366,0.11801464,0.0039915238,0.139904375
What is an exception in programming?,BT1 (Remembering),0.9873497,0.004484718,0.0031107736,0.0027002422,0.0016087433,0.0007458612,0.105389064
How do you round a number to the nearest integer in Python?,BT3 (Applying),0.032181337,0.005527709,0.93428034,0.022788674,0.0032445472,0.0019773254,0.137594156
What are attention heads in Transformer models?,BT1 (Remembering),0.988342,0.004585637,0.00259075,0.0024262553,0.0010957692,0.0009597119,0.812184186
Explain the concept of latent variables in deep learning.,BT2 (Understanding),0.27829048,0.557301,0.045305654,0.11393626,0.0024276131,0.002738983,0.844647911
How does an LSTM model remember long-term dependencies?,BT4 (Analyzing),0.16201738,0.027696501,0.06603256,0.7370895,0.005768928,0.0013951097,0.947734803
What is the role of the softmax function in neural networks?,BT1 (Remembering),0.9624429,0.016029375,0.006149488,0.013439041,0.0014070118,0.00053225853,0.939777983
"Describe the differences between BatchNorm, LayerNorm, and InstanceNorm.",BT2 (Understanding),0.3718713,0.44876477,0.022559263,0.15230428,0.002489246,0.002011085,0.895521713
How do contrastive learning techniques work in self-supervised learning?,BT4 (Analyzing),0.0028266832,0.024590844,0.062006656,0.90045303,0.004712328,0.00541045,0.723984529
Explain the working of backpropagation through time (BPTT).,BT2 (Understanding),0.21758555,0.6404434,0.035810735,0.102169774,0.0025526574,0.0014378821,0.808744321
What are self-attention mechanisms and how do they work?,BT1 (Remembering),0.9679242,0.016722323,0.0034748816,0.008104514,0.0025457276,0.0012283451,0.872963946
How does dropout prevent overfitting in deep neural networks?,BT4 (Analyzing),0.02789064,0.030503748,0.062458903,0.78064835,0.093710296,0.004788099,0.948271345
Explain the concept of transfer learning in deep learning.,BT2 (Understanding),0.35516715,0.5199697,0.037993442,0.08208119,0.002026721,0.0027617908,0.883890101
What is the difference between feature extraction and fine-tuning?,BT4 (Analyzing),0.023731418,0.021732237,0.001960152,0.9494804,0.0019135951,0.0011822425,0.832246022
How do knowledge graphs contribute to AI applications?,BT6 (Creating),0.0048146793,0.008660557,0.021062767,0.018015545,0.015611175,0.9318353,0.93986376
Describe the architecture of a BERT model.,BT1 (Remembering),0.8523791,0.1043289,0.018791549,0.021398284,0.0014785052,0.0016236407,0.781868484
What is the role of positional encoding in Transformer models?,BT1 (Remembering),0.93681693,0.02502008,0.0060352166,0.029502327,0.0020020364,0.0006233494,0.785617279
How do ensemble methods like stacking and boosting improve model performance?,BT3 (Applying),0.006845587,0.12983271,0.4401743,0.19260442,0.053637147,0.17690572,0.790385962
What is a Markov Decision Process in reinforcement learning?,BT1 (Remembering),0.98220074,0.007066091,0.0041526593,0.0048963823,0.0010227789,0.0006614435,0.862109202
Explain how deep Q-learning works.,BT2 (Understanding),0.28894818,0.61174953,0.022690883,0.07136731,0.0032483388,0.0019957933,0.872598759
What are the advantages of using Swin Transformers over CNNs?,BT1 (Remembering),0.46460414,0.09490495,0.01268432,0.418634,0.007963451,0.001209151,0.909160001
How does NeRF (Neural Radiance Fields) generate 3D images?,BT3 (Applying),0.13304196,0.031626057,0.74524635,0.08013476,0.0023471224,0.0076037636,0.7942702
Describe how wavelet transforms can be used in signal processing.,BT2 (Understanding),0.042484123,0.78199935,0.14123791,0.029734438,0.0016234732,0.0029207442,0.764091718
"What is spectral clustering, and how does it work?",BT1 (Remembering),0.96406674,0.018918574,0.0062238057,0.007879951,0.0021161118,0.00079482124,0.739119805
Explain the concept of weight pruning in neural networks.,BT2 (Understanding),0.38182598,0.4927121,0.037838574,0.08286019,0.0022845448,0.0024785835,0.779810075
"What is zero-shot learning, and how is it used in AI?",BT1 (Remembering),0.98057026,0.009350836,0.0047352,0.0031910564,0.0012779024,0.0008748024,0.881508728
Describe how dynamic computational graphs work in PyTorch.,BT2 (Understanding),0.4032823,0.4429173,0.06869341,0.08084909,0.0020841607,0.0021737302,0.799665509
